row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source
r00056,125,雨点,yu115tien52,,,lɦytiẽ,True,result_all_converted.xlsx
r00057,125,雨脚,yu115ciaq54,,指雨滴下垂成线状：~唔有断过天一时还𣍐晴唻。,iɦylltɕiaʔklkfis,True,result_all_converted.xlsx
r00058,125,雾露,wu11lu11,,雾,ɦulu,True,result_all_converted.xlsx
r00059,125,雾气,wu11chi11,,,ɦutɕʰi,True,result_all_converted.xlsx
r00060,125,露水,lu11sy11,sy3;se3,,kklus,True,result_all_converted.xlsx
r00061,125,霜,saon52,,,isɒŋ,True,result_all_converted.xlsx
r00062,125,冰,pin52,,,ipiŋboʔpiŋbɒk,True,result_all_converted.xlsx
r00063,125,蟹壳冰,ha335khoq5pin52,,薄冰,hakʰoʔpiŋilik,True,result_all_converted.xlsx
r00064,125,葱管糖,tshon33kuoen55daon52,,指屋檐下的冰溜子,ltsʰoŋkudɒŋttsʰŋkuødɒŋtfk,True,result_all_converted.xlsx
r00065,125,雪,shiq45,,,iiʔ,True,result_all_converted.xlsx
r00066,125,雪子,shiq3tsy55,tsy3;tseq7,霰,fɕiʔts,True,result_all_converted.xlsx
r00067,125,雪石子,shiq3zaq5tsy52,zaq8;zeoq8tsy3;tseq7,霰,iiɕiʔzaʔts,True,result_all_converted.xlsx
