row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source,ipa_from_wupin,ipa_conversion_status,ipa_label_source
r00027,124,鬼子头风,ciu335tseq5deu55fon52,kue3tsy3;tseq7,旋风,ltytsʔdɤfoŋ,True,result_all_converted.xlsx,tɕy³³⁵tsᴇʔ⁵də⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin
r00028,124,顺风,zeen11fon11,,,lzẽfoŋ,True,result_all_converted.xlsx,zẽ¹¹foŋ¹¹,ok,rule_from_trusted_wupin
r00029,124,顶头风,tin335deu55fon52,tin3,顶头风,ltiŋdɤfoŋ,True,result_all_converted.xlsx,tiŋ³³⁵də⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin
r00030,124,斗风,teu335fon52,teu5,顶头风,ktɤfoŋ,True,result_all_converted.xlsx,tə³³⁵foŋ⁵²,ok,rule_from_trusted_wupin
r00031,124,斗头风,teu335deu55fon52,teu5,顶头风,tɤdfoŋ,True,result_all_converted.xlsx,tə³³⁵də⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin
r00032,124,穿堂风,tsheen33daon55fon52,tshoen1,,ltsʰdɒŋfoŋ,True,result_all_converted.xlsx,tsʰẽ³³dɒŋ⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin
r00033,124,云,yoen231,yoen2,云彩,zɦiø̃z,True,result_all_converted.xlsx,ɦiø̃²³¹,ok,rule_from_trusted_wupin
r00034,124,云头,yoen11deu52,yoen2,云块,zɦidɤtk,True,result_all_converted.xlsx,ɦiø̃¹¹də⁵²,ok,rule_from_trusted_wupin
r00035,124,乌云,u33yoen52,yoen2,,luɦi,True,result_all_converted.xlsx,u³³ɦiø̃⁵²,ok,rule_from_trusted_wupin
r00036,124,鱼厣云,yu11ieen55yoen52,ng2yoen2,鱼鳞云,,True,result_all_converted.xlsx,ɦy¹¹iẽ⁵⁵ɦiø̃⁵²,ok,rule_from_trusted_wupin
r00037,124,瓦爿云,ngo115baen55yoen52,yoen2,,,True,result_all_converted.xlsx,ŋɒ¹¹⁵bæ̃⁵⁵ɦiø̃⁵²,ok,rule_from_trusted_wupin
r00038,124,火烧云,hu335sau55yoen52,yoen2,霞,kzhusɒɦit,True,result_all_converted.xlsx,hu³³⁵sɤ⁵⁵ɦiø̃⁵²,ok,rule_from_trusted_wupin
r00039,124,大雷,do11le11,do6,雷,doll,True,result_all_converted.xlsx,dɒ¹¹lᴇ¹¹,ok,rule_from_trusted_wupin
r00040,124,大雷公公,do11lo11kuon11kuon11,do6,对雷的拟人称呼：~响，背得老娘踏踏抢。,kdolkuoŋkuoŋli,True,result_all_converted.xlsx,dɒ¹¹lɒ¹¹kuoŋ¹¹kuoŋ¹¹,ok,rule_from_trusted_wupin
