source_dataset	source_path	row_number_0based	sample_id	page	pdf_page	row_index	source_split	quality	hanzi	candidate_headword	wupin	canonical_wupin	current_label	ipa_conversion_status	cleaning_flags	issue_type	ipa_from_wupin	wupin_back	errors
source_clean	result_all_converted.clean.csv	6		123					月华		yoeq1wo55	yoeq1wo55				roundtrip_mismatch	ɦiøʔ1ɦuo55	yoeq1wuo55	
source_clean	result_all_converted.clean.csv	10		123					黄昏晓		waon11huen55shiau52	waon11huen55shiau52				roundtrip_mismatch	ɦuɒŋ11huẽ55ɕiɒ52	wuaon11huen55shiau52	
source_clean	result_all_converted.clean.csv	27		124					鬼子头风		ciu335tseq5deu55fon52	ciu335tseq5deu55fon52				roundtrip_mismatch	tɕy335tseʔ5dɤ55foŋ52	tciu335tseq5deu55fon52	
source_clean	result_all_converted.clean.csv	57		125					雨脚		yu115ciaq54	yu115ciaq54				roundtrip_mismatch	ɦy115tɕiaʔ54	yu115tciaq54	
source_clean	result_all_converted.clean.csv	72		125					皎致晴天		ciau33tsy55jin55thien52	ciau33tsy55jin55thien52				roundtrip_mismatch	tɕiɒ33tsɿ55dʑiŋ55tʰiẽ52	tciau33tsy55jin55thien52	
source_clean	result_all_converted.clean.csv	77		125					养花天		yan115huo55thien52	yan115huo55thien52				roundtrip_mismatch	ɦiaŋ115huo55tʰiẽ52	yian115huo55thien52	
source_clean	result_all_converted.clean.csv	78		125					黄梅天		waon11me55thien52	waon11me55thien52				roundtrip_mismatch	ɦuɒŋ11mᴇ55tʰiẽ52	wuaon11me55thien52	
source_clean	result_all_converted.clean.csv	81		126					黄沙天		waon11so55thien52	waon11so55thien52				roundtrip_mismatch	ɦuɒŋ11so55tʰiẽ52	wuaon11so55thien52	
source_clean	result_all_converted.clean.csv	92		126					河头水脚		gho11deu55sy55cian52	gho11deu55sy55cian52				roundtrip_mismatch	ɦo11dɤ55sɿ55tɕiaŋ52	gho11deu55sy55tcian52	
source_clean	result_all_converted.clean.csv	99		126					田脚		dien11ciaq5	dien11ciaq5				roundtrip_mismatch	diẽ11tɕiaʔ5	dien11tciaq5	
source_clean	result_all_converted.clean.csv	127		127					山脊		saen33ciq5	saen33ciq5				roundtrip_mismatch	sæ̃33tɕieʔ5	saen33tciq5	
source_clean	result_all_converted.clean.csv	130		127					山脚		saen33ciaq5	saen33ciaq5				roundtrip_mismatch	sæ̃33tɕiaʔ5	saen33tciaq5	
source_clean	result_all_converted.clean.csv	158		128					㶇		wan11	wan11				roundtrip_mismatch	ɦuaŋ11	wuan11	
source_clean	result_all_converted.clean.csv	177		129					桥脚		jiau11ciaq5	jiau11ciaq5				roundtrip_mismatch	dʑiɒ11tɕiaʔ5	jiau11tciaq5	
source_clean	result_all_converted.clean.csv	181		129					箭头		cien33deu33	cien33deu33				roundtrip_mismatch	tɕiẽ33dɤ33	tcien33deu33	
source_clean	result_all_converted.clean.csv	194		130					野地		ya115di52	ya115di52				roundtrip_mismatch	ɦia115di52	yia115di52	
source_clean	result_all_converted.clean.csv	195		130					景致		cin335tsy52	cin335tsy52				roundtrip_mismatch	tɕiŋ335tsɿ52	tcin335tsy52	
source_clean	result_all_converted.clean.csv	200		130					鉴湖		cien33wu33	cien33wu33				roundtrip_mismatch	tɕiẽ33ɦu33	tcien33wu33	
source_clean	result_all_converted.clean.csv	201		130					金子		cin33tsy55	cin33tsy55				roundtrip_mismatch	tɕiŋ33tsɿ55	tcin33tsy55	
source_clean	result_all_converted.clean.csv	202		130					白金		baq1cin52	baq1cin52				roundtrip_mismatch	baʔ1tɕiŋ52	baq1tcin52	
source_clean	result_all_converted.clean.csv	217		131					水晶		sy335cin52	sy335cin52				roundtrip_mismatch	sɿ335tɕiŋ52	sy335tcin52	
source_clean	result_all_converted.clean.csv	221		131					珍珠		tseen33ciu52	tseen33ciu52				roundtrip_mismatch	tsẽ33tɕy52	tseen33tciu52	
source_clean	result_all_converted.clean.csv	222		131					硫黄		lieu11waon52	lieu11waon52				roundtrip_mismatch	liɤ11ɦuɒŋ52	lieu11wuaon52	
source_clean	result_all_converted.clean.csv	281		133					迹足		ciq3tsoq5	ciq3tsoq5				roundtrip_mismatch	tɕieʔ3tsoʔ5	tciq3tsoq5	
source_clean	result_all_converted.clean.csv	291		133					油蒿气		yeu11hau55chi52	yeu11hau55chi52				roundtrip_mismatch	ɦiɤ11hɒ55tɕʰi52	yieu11hau55chi52	
source_clean	result_all_converted.clean.csv	294		133					恶药头气		oq3yaq5deu55chi55	oq3yaq5deu55chi55				roundtrip_mismatch	oʔ3ɦiaʔ5dɤ55tɕʰi55	oq3yiaq5deu55chi55	
source_clean	result_all_converted.clean.csv	297		134					羊臊臭		yan11sau55tsheu52	yan11sau55tsheu52				roundtrip_mismatch	ɦiaŋ11sɒ55tsʰɤ52	yian11sau55tsheu52	
source_clean	result_all_converted.clean.csv	331		135					今年		cin335gnien52	cin335gnien52				roundtrip_mismatch	tɕiŋ335ȵiẽ52	tcin335gnien52	
source_clean	result_all_converted.clean.csv	343		135					前几年		zhien11ci55gnien52	zhien11ci55gnien52				roundtrip_mismatch	ʑiẽ11tɕi55ȵiẽ52	zhien11tci55gnien52	
source_clean	result_all_converted.clean.csv	351		136					年脚		gnien11ciaq5	gnien11ciaq5				roundtrip_mismatch	ȵiẽ11tɕiaʔ5	gnien11tciaq5	
source_clean	result_all_converted.clean.csv	365		136					日脚		gniq1ciaq5	gniq1ciaq5				roundtrip_mismatch	ȵieʔ1tɕiaʔ5	gniq1tciaq5	
source_clean	result_all_converted.clean.csv	366		136					今朝		cin33tsau52	cin33tsau52				roundtrip_mismatch	tɕiŋ33tsɒ52	tcin33tsau52	
source_clean	result_all_converted.clean.csv	374		136					上夜		zan115ya52	zan115ya52				roundtrip_mismatch	zaŋ115ɦia52	zan115yia52	
source_clean	result_all_converted.clean.csv	375		137					上夜日子		zan115ya55gni55tsy52	zan115ya55gni55tsy52				roundtrip_mismatch	zaŋ115ɦia55ȵi55tsɿ52	zan115yia55gni55tsy52	
source_clean	result_all_converted.clean.csv	390		137					夜头		ya11deu11	ya11deu11				roundtrip_mismatch	ɦia11dɤ11	yia11deu11	
source_clean	result_all_converted.clean.csv	407		138					夜快		ya11khua11	ya11khua11				roundtrip_mismatch	ɦia11kʰua11	yia11khua11	
source_clean	result_all_converted.clean.csv	409		138					前半夜		jien11poen55ya52	jien11poen55ya52				roundtrip_mismatch	dʑiẽ11pø̃55ɦia52	jien11poen55yia52	
source_clean	result_all_converted.clean.csv	410		138					上半夜		zan115poen55ya52	zan115poen55ya52				roundtrip_mismatch	zaŋ115pø̃55ɦia52	zan115poen55yia52	
source_clean	result_all_converted.clean.csv	411		138					后半夜		gheu115poen55ya52	gheu115poen55ya52				roundtrip_mismatch	ɦɤ115pø̃55ɦia52	gheu115poen55yia52	
source_clean	result_all_converted.clean.csv	412		138					下半夜		gho115poen55ya52	gho115poen55ya52				roundtrip_mismatch	ɦo115pø̃55ɦia52	gho115poen55yia52	
source_clean	result_all_converted.clean.csv	413		138					半夜		poen33ya33	poen33ya33				roundtrip_mismatch	pø̃33ɦia33	poen33yia33	
source_clean	result_all_converted.clean.csv	414		138					成更半夜		dzeon11kan55poen55ya52	dzeon11kan55poen55ya52				roundtrip_mismatch	dzəŋ11kaŋ55pø̃55ɦia52	dzeon11kan55poen55yia52	
source_clean	result_all_converted.clean.csv	432		138					暖天家		noen115thien55cia52	noen115thien55cia52				roundtrip_mismatch	nø̃115tʰiẽ55tɕia52	noen115thien55tcia52	
source_clean	result_all_converted.clean.csv	435		139					冷天家		lan115thien55cia52	lan115thien55cia52				roundtrip_mismatch	laŋ115tʰiẽ55tɕia52	lan115thien55tcia52	
source_clean	result_all_converted.clean.csv	450		139					稼青黄不接		cia33chin33huaon33peq3ciq3	cia33chin33huaon33peq3ciq3				roundtrip_mismatch	tɕia33tɕʰiŋ33huɒŋ33peʔ3tɕieʔ3	tcia33chin33huaon33peq3tciq3	
source_clean	result_all_converted.clean.csv	453		139					九月		cieu335gnioeq54	cieu335gnioeq54				roundtrip_mismatch	tɕiɤ335ȵiøʔ54	tcieu335gnioeq54	
source_clean	result_all_converted.clean.csv	467		140					春节		tsheen33ciq5	tsheen33ciq5				roundtrip_mismatch	tsʰẽ33tɕieʔ5	tsheen33tciq5	
source_clean	result_all_converted.clean.csv	471		140					清明节		chin33meen55ciq54	chin33meen55ciq54				roundtrip_mismatch	tɕʰiŋ33mẽ55tɕieʔ54	chin33meen55tciq54	
source_clean	result_all_converted.clean.csv	477		140					中秋节		tson33chieu55ciq54	tson33chieu55ciq54				roundtrip_mismatch	tsoŋ33tɕʰiɤ55tɕieʔ54	tson33chieu55tciq54	
source_clean	result_all_converted.clean.csv	478		140					重阳		dzon11yan52	dzon11yan52				roundtrip_mismatch	dzoŋ11ɦiaŋ52	dzon11yian52	
source_clean	result_all_converted.clean.csv	479		140					重阳节		dzon11yan55ciq54	dzon11yan55ciq54				roundtrip_mismatch	dzoŋ11ɦiaŋ55tɕieʔ54	dzon11yian55tciq54	
source_clean	result_all_converted.clean.csv	480		140					三十日夜		saen33zeq5gni55ya52	saen33zeq5gni55ya52				roundtrip_mismatch	sæ̃33zeʔ5ȵi55ɦia52	saen33zeq5gni55yia52	
source_clean	result_all_converted.clean.csv	481		140					年三十夜		gnien11saen55zeq5ya52	gnien11saen55zeq5ya52				roundtrip_mismatch	ȵiẽ11sæ̃55zeʔ5ɦia52	gnien11saen55zeq5yia52	
source_clean	result_all_converted.clean.csv	482		140					年夜		gnien11ya55	gnien11ya55				roundtrip_mismatch	ȵiẽ11ɦia55	gnien11yia55	
source_clean	result_all_converted.clean.csv	483		140					节头节尾		ciq3deu55ciq5mi52	ciq3deu55ciq5mi52				roundtrip_mismatch	tɕieʔ3dɤ55tɕieʔ5mi52	tciq3deu55tciq5mi52	
source_clean	result_all_converted.clean.csv	484		140					三八节		saen33paeq5ciq54	saen33paeq5ciq54				roundtrip_mismatch	sæ̃33pæʔ5tɕieʔ54	saen33paeq5tciq54	
source_clean	result_all_converted.clean.csv	485		140					五一节		wu115iq5ciq54	wu115iq5ciq54				roundtrip_mismatch	ɦu115ieʔ5tɕieʔ54	wu115iq5tciq54	
source_clean	result_all_converted.clean.csv	507		141					惊蛰		cin33dzeq5	cin33dzeq5				roundtrip_mismatch	tɕiŋ33dzeʔ5	tcin33dzeq5	
source_clean	result_all_converted.clean.csv	510		141					国庆节		kuoq3chin55ciq54	kuoq3chin55ciq54				roundtrip_mismatch	kuoʔ3tɕʰiŋ55tɕieʔ54	kuoq3chin55tciq54	
source_clean	result_all_converted.clean.csv	511		141					儿童节		gni11don55ciq54	gni11don55ciq54				roundtrip_mismatch	ȵi11doŋ55tɕieʔ54	gni11don55tciq54	
source_clean	result_all_converted.clean.csv	518		142					狗熊		keu335yon52	keu335yon52				roundtrip_mismatch	kɤ335ɦioŋ52	keu335yion52	
source_clean	result_all_converted.clean.csv	519		142					野狗		ya115keu52	ya115keu52				roundtrip_mismatch	ɦia115kɤ52	yia115keu52	
source_clean	result_all_converted.clean.csv	524		142					猢		weq23	weq23				roundtrip_mismatch	ɦueʔ23	wueq23	
source_clean	result_all_converted.clean.csv	527		142					野猪		ya115tsy52	ya115tsy52				roundtrip_mismatch	ɦia115tsɿ52	yia115tsy52	
source_clean	result_all_converted.clean.csv	533		142					夜老老		ya11lau11lau11	ya11lau11lau11				roundtrip_mismatch	ɦia11lɒ11lɒ11	yia11lau11lau11	
source_clean	result_all_converted.clean.csv	542		143					雉鸡		dzy115ci52	dzy115ci52				roundtrip_mismatch	dzɿ115tɕi52	dzy115tci52	
source_clean	result_all_converted.clean.csv	543		143					野鸡		ya115ci52	ya115ci52				roundtrip_mismatch	ɦia115tɕi52	yia115tci52	
source_clean	result_all_converted.clean.csv	556		143					野白鸽		ya115baq5keq54	ya115baq5keq54				roundtrip_mismatch	ɦia115baʔ5keʔ54	yia115baq5keq54	
source_clean	result_all_converted.clean.csv	562		143					画眉		wo11mi11	wo11mi11				roundtrip_mismatch	ɦuo11mi11	wuo11mi11	
