source_dataset	source_path	row_number_0based	sample_id	page	pdf_page	row_index	source_split	quality	hanzi	candidate_headword	wupin	canonical_wupin	current_label	ipa_conversion_status	cleaning_flags	issue_type	ipa_from_wupin	wupin_back	errors
source_clean	result_all_converted.clean.csv	36		124					鱼厣云		yu11ieen55yoen52	yu11ieen55yoen52				forward_error	ɦy11<ieen55>ɦiø̃52		unknown_final:ieen:ieen
source_clean	result_all_converted.clean.csv	171		129					河沿		gho11yen52	gho11yen52				forward_error	ɦo11<yen52>		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	303		134					乌焦毛头臭		u33ciau55mhau55deu55tsheu33	u33ciau55mhau55deu55tsheu33				forward_error	u33tɕiɒ55<mhau55>dɤ55tsʰɤ33		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	517		142					马熊		mha33yon52	mha33yon52				forward_error	<mha33>ɦioŋ52		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	627		145					毛大蟹		mhau33da55ha52	mhau33da55ha52				forward_error	<mhau33>da55ha52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	673		147					蜒螺		yen11lo52	yen11lo52				forward_error	<yen11>lo52		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	674		147					带壳蜒螺		ta33khoq3yen33lo33	ta33khoq3yen33lo33				forward_error	ta33kʰoʔ3<yen33>lo33		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	676		147					知了		tsy33iiau55	tsy33iiau55				forward_error	tsɿ33<iiau55>		unknown_final:iiau:iiau
source_clean	result_all_converted.clean.csv	684		147					毛蝴蝶		mhau33wu55diaq54	mhau33wu55diaq54				forward_error	<mhau33>ɦu55diaʔ54		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	685		147					杨痢毛		lian11li55mhau52	lian11li55mhau52				forward_error	liaŋ11li55<mhau52>		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	745		149					马		mha52	mha52				forward_error	<mha52>		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	746		149					雄马		yon11mha52	yon11mha52				forward_error	ɦioŋ11<mha52>		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	747		149					雌马		tshy33mha52	tshy33mha52				forward_error	tsʰɿ33<mha52>		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	748		149					小马		shiau335mha52	shiau335mha52				forward_error	ɕiɒ335<mha52>		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	812		151					黄毛小鹅		huaon33mhau55shiau55ngo52	huaon33mhau55shiau55ngo52				forward_error	huɒŋ33<mhau55>ɕiɒ55ŋo52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	826		152					毛毛		mhau33mhau52	mhau33mhau52				forward_error	<mhau33><mhau52>		unknown_final:hau:mhau;unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	827		152					毛		mhau52	mhau52				forward_error	<mhau52>		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	828		152					雉鸡毛		dzy115ci55mhau52	dzy115ci55mhau52				forward_error	dzɿ115tɕi55<mhau52>		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	877		154					毛竹		mhau33tsoq5	mhau33tsoq5				forward_error	<mhau33>tsoʔ5		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	885		154					毛笋		mhau33seen55	mhau33seen55				forward_error	<mhau33>sẽ55		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	889		154					马鞭笋		mha33pien55seen52	mha33pien55seen52				forward_error	<mha33>piẽ55sẽ52		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	936		156					拉拉藤		iha33iha55deon52	iha33iha55deon52				forward_error	<iha33><iha55>dəŋ52		unknown_final:iha:iha;unknown_final:iha:iha
source_clean	result_all_converted.clean.csv	945		156					酸妹妹		soen33mhe55mhe52	soen33mhe55mhe52				forward_error	sø̃33<mhe55><mhe52>		unknown_final:he:mhe;unknown_final:he:mhe
source_clean	result_all_converted.clean.csv	955		156					白毛夏枯草		baq1mhau55gho55khu55tshau52	baq1mhau55gho55khu55tshau52				forward_error	baʔ1<mhau55>ɦo55kʰu55tsʰɒ52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1022		158					毛豆		mhau33deu55	mhau33deu55				forward_error	<mhau33>dɤ55		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1063		160					闷糠		mheen33khaon52	mheen33khaon52				forward_error	<mheen33>kʰɒŋ52		unknown_final:heen:mheen
source_clean	result_all_converted.clean.csv	1076		160					鸡毛菜		ci33mhau55tshe52	ci33mhau55tshe52				forward_error	tɕi33<mhau55>tsʰᴇ52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1094		161					马兰头		mha33laen55deu52	mha33laen55deu52				forward_error	<mha33>læ̃55dɤ52		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	1107		161					芥拉头		ka33iha33deu33	ka33iha33deu33				forward_error	ka33<iha33>dɤ33		unknown_final:iha:iha
source_clean	result_all_converted.clean.csv	1207		165					零食		ihin33zeoq5	ihin33zeoq5				forward_error	<ihin33>zəʔ5		unknown_final:ihin:ihin
source_clean	result_all_converted.clean.csv	1243		166					馄饨		wen11doen52	wen11doen52				forward_error	<wen11>dø̃52		unknown_final:en:wen
source_clean	result_all_converted.clean.csv	1283		167					盐鸭子		yen11aeq5tsy52	yen11aeq5tsy52				forward_error	<yen11>æʔ5tsɿ52		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1408		171					末		mheq45	mheq45				forward_error	<mheq45>		unknown_final:heq:mheq
source_clean	result_all_converted.clean.csv	1507		174					盐		yen231	yen231				forward_error	<yen231>		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1508		174					盐花		yen11huo52	yen11huo52				forward_error	<yen11>huo52		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1509		174					盐奶		yen11na55	yen11na55				forward_error	<yen11>na55		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1568		176					毛货		mhau33hu55	mhau33hu55				forward_error	<mhau33>hu55		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1569		176					毛线		mhau33shien55	mhau33shien55				forward_error	<mhau33>ɕiẽ55		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1579		176					零头布		ihin33deu55pu52	ihin33deu55pu52				forward_error	<ihin33>dɤ55pu52		unknown_final:ihin:ihin
source_clean	result_all_converted.clean.csv	1605		177					棉毛衫		mien11mhau55saen52	mien11mhau55saen52				forward_error	miẽ11<mhau55>sæ̃52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1608		177					棉毛裤		mien11mhau55khu52	mien11mhau55khu52				forward_error	miẽ11<mhau55>kʰu52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1612		178					毛线衫		mhau33shien55saen52	mhau33shien55saen52				forward_error	<mhau33>ɕiẽ55sæ̃52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1613		178					毛线裤		mhau33shien55khu52	mhau33shien55khu52				forward_error	<mhau33>ɕiẽ55kʰu52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1617		178					马甲		mha33ciaq5	mha33ciaq5				forward_error	<mha33>tɕiaʔ5		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	1636		178					马褂		mha33kuo55	mha33kuo55				forward_error	<mha33>kuo55		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	1678		180					帽檐儿		ma11yen11gni11	ma11yen11gni11				forward_error	ma11<yen11>ȵi11		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1691		180					拦馋		ihaen33daen52	ihaen33daen52				forward_error	<ihaen33>dæ̃52		unknown_final:ihaen:ihaen
source_clean	result_all_converted.clean.csv	1692		180					拦馋袋		ihaen33daen55de52	ihaen33daen55de52				forward_error	<ihaen33>dæ̃55dᴇ52		unknown_final:ihaen:ihaen
source_clean	result_all_converted.clean.csv	1739		182					沿条		yen11tiau52	yen11tiau52				forward_error	<yen11>tiɒ52		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1785		183					阶沿		ka33yen52	ka33yen52				forward_error	ka33<yen52>		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1799		184					毛墙		mhau33jian52	mhau33jian52				forward_error	<mhau33>dʑiaŋ52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	1832		185					屋檐		uoq3yen52	uoq3yen52				forward_error	uoʔ3<yen52>		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1834		185					廊檐下		laon11yen55gho52	laon11yen55gho52				forward_error	lɒŋ11<yen55>ɦo52		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1841		185					標条		pips11tiau52	pips11tiau52				forward_error	<pips11>tiɒ52		unknown_final:ips:pips
source_clean	result_all_converted.clean.csv	1924		189					马踏椅		mha33daeq5i52	mha33daeq5i52				forward_error	<mha33>dæʔ5i52		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	1925		189					马踏椅子		mha33daeq5i55tsy52	mha33daeq5i55tsy52				forward_error	<mha33>dæʔ5i55tsɿ52		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	1939		189					马扎		mha33tsaq5	mha33tsaq5				forward_error	<mha33>tsaʔ5		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	1962		190					床沿		zaon11yen52	zaon11yen52				forward_error	zɒŋ11<yen52>		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	1978		191					马桶箱		mha33don55shian52	mha33don55shian52				forward_error	<mha33>doŋ55ɕiaŋ52		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	2082		194					撩兜		ihiau33teu52	ihiau33teu52				forward_error	<ihiau33>tɤ52		unknown_final:ihiau:ihiau
source_clean	result_all_converted.clean.csv	2122		195					闷盖碗		mheen33ke55uoen52	mheen33ke55uoen52				forward_error	<mheen33>kᴇ55uø̃52		unknown_final:heen:mheen
source_clean	result_all_converted.clean.csv	2165		197					松毛柴		son33mhau55za52	son33mhau55za52				forward_error	soŋ33<mhau55>za52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	2195		198					马灯		mha33teon52	mha33teon52				forward_error	<mha33>təŋ52		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	2223		199					毛巾		mhau33cin52	mhau33cin52				forward_error	<mhau33>tɕiŋ52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	2266		200					鸡毛帚		ci33mhau55tseu52	ci33mhau55tseu52				forward_error	tɕi33<mhau55>tsɤ52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	2267		200					鸡毛掸子		ci33mhau55taen55tsy52	ci33mhau55taen55tsy52				forward_error	tɕi33<mhau55>tæ̃55tsɿ52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	2278		200					毛纸		mhau33tsy55	mhau33tsy55				forward_error	<mhau33>tsɿ55		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	2282		201					马桶		mha33don55	mha33don55				forward_error	<mha33>doŋ55		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	2366		203					眉毛钳		mi11mhau55geen52	mi11mhau55geen52				forward_error	mi11<mhau55>ɡẽ52		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	2470		207					马达		mha33daeq5	mha33daeq5				forward_error	<mha33>dæʔ5		unknown_final:ha:mha
source_clean	result_all_converted.clean.csv	2537		209					浑筒脸		wen11don55lien52	wen11don55lien52				forward_error	<wen11>doŋ55liẽ52		unknown_final:en:wen
source_clean	result_all_converted.clean.csv	2543		209					毛		mhau52	mhau52				forward_error	<mhau52>		unknown_final:hau:mhau
source_clean	result_all_converted.clean.csv	2560		210					后势沿		gheu115sy55yen52	gheu115sy55yen52				forward_error	ɦɤ115sɿ55<yen52>		unknown_final:en:yen
source_clean	result_all_converted.clean.csv	2562		210					胎毛		the33mhau52	the33mhau52				forward_error	tʰᴇ33<mhau52>		unknown_final:hau:mhau
