issue	count
unknown_final:hau:mhau	47
unknown_final:ha:mha	23
unknown_final:he:mhe	14
unknown_final:ihin:ihin	13
unknown_final:h:nh	9
unknown_final:iha:iha	6
unknown_final:heq:mheq	6
unknown_final:heen:mheen	5
unknown_final:hien:gnhien	5
unknown_final:hoq:mhoq	5
unknown_final:haen:mhaen	5
unknown_final:ha:nha	4
unknown_final:ihaen:ihaen	3
unknown_final:ihiau:ihiau	3
unknown_final:hau:nhau	3
unknown_final:iiau:iiau	2
unknown_final:hieu:gnhieu	2
unknown_final:ieen:ieen	1
unknown_final:ips:pips	1
unknown_final:ihu:ihu	1
unknown_final:iho:iho	1
unknown_final:ip:dzip	1
unknown_final:hi:mhi	1
