row_index,page,hanzi,wupin_original,wupin_canonical_source,ipa_from_wupin,wupin_back,issue_type,forward_status,backward_status
1579,176,零头布,ihin33deu55pu52,ihin33deu55pu52,<ihin33>dɤ55pu52,ihin33deu55pu52,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
1605,177,棉毛衫,mien11mhau55saen52,mien11mhau55saen52,miẽ11<mhau55>sæ̃52,mien11mhau55saen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1608,177,棉毛裤,mien11mhau55khu52,mien11mhau55khu52,miẽ11<mhau55>kʰu52,mien11mhau55khu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1612,178,毛线衫,mhau33shien55saen52,mhau33shien55saen52,<mhau33>ɕiẽ55sæ̃52,mhau33shien55saen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1613,178,毛线裤,mhau33shien55khu52,mhau33shien55khu52,<mhau33>ɕiẽ55kʰu52,mhau33shien55khu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1617,178,马甲,mha33ciaq5,mha33ciaq5,<mha33>tɕiaʔ5,mha33ciaq5,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1636,178,马褂,mha33kuo55,mha33kuo55,<mha33>kuo55,mha33kuo55,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1691,180,拦馋,ihaen33daen52,ihaen33daen52,<ihaen33>dæ̃52,ihaen33daen52,forward_error;backward_error,unknown_final:ihaen:ihaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
1692,180,拦馋袋,ihaen33daen55de52,ihaen33daen55de52,<ihaen33>dæ̃55dᴇ52,ihaen33daen55de52,forward_error;backward_error,unknown_final:ihaen:ihaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
1799,184,毛墙,mhau33jian52,mhau33jian52,<mhau33>dʑiaŋ52,mhau33jian52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1841,185,標条,pips11tiau52,pips11tiau52,<pips11>tiɒ52,pips11tiau52,forward_error;backward_error,unknown_final:ips:pips,unknown_ipa:<;unknown_ipa:>
1879,186,烟肉,ien33gnio55,ien33gnio55,iẽ33ȵiɒ55,ien33gniau55,roundtrip_mismatch,ok,ok
1924,189,马踏椅,mha33daeq5i52,mha33daeq5i52,<mha33>dæʔ5i52,mha33daeq5i52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1925,189,马踏椅子,mha33daeq5i55tsy52,mha33daeq5i55tsy52,<mha33>dæʔ5i55tsɿ52,mha33daeq5i55tsy52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1939,189,马扎,mha33tsaq5,mha33tsaq5,<mha33>tsaʔ5,mha33tsaq5,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1978,191,马桶箱,mha33don55shian52,mha33don55shian52,<mha33>doŋ55ɕiaŋ52,mha33don55shian52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2082,194,撩兜,ihiau33teu52,ihiau33teu52,<ihiau33>tɤ52,ihiau33teu52,forward_error;backward_error,unknown_final:ihiau:ihiau,unknown_ipa:<;unknown_ipa:>
2122,195,闷盖碗,mheen33ke55uoen52,mheen33ke55uoen52,<mheen33>kᴇ55uø̃52,mheen33ke55uoen52,forward_error;backward_error,unknown_final:heen:mheen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:e;unknown_ipa:>
2165,197,松毛柴,son33mhau55za52,son33mhau55za52,soŋ33<mhau55>za52,son33mhau55za52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2195,198,马灯,mha33teon52,mha33teon52,<mha33>təŋ52,mha33teon52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2223,199,毛巾,mhau33cin52,mhau33cin52,<mhau33>tɕiŋ52,mhau33cin52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2266,200,鸡毛帚,ci33mhau55tseu52,ci33mhau55tseu52,tɕi33<mhau55>tsɤ52,ci33mhau55tseu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2267,200,鸡毛掸子,ci33mhau55taen55tsy52,ci33mhau55taen55tsy52,tɕi33<mhau55>tæ̃55tsɿ52,ci33mhau55taen55tsy52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2278,200,毛纸,mhau33tsy55,mhau33tsy55,<mhau33>tsɿ55,mhau33tsy55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2282,201,马桶,mha33don55,mha33don55,<mha33>doŋ55,mha33don55,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2366,203,眉毛钳,mi11mhau55geen52,mi11mhau55geen52,mi11<mhau55>ɡẽ52,mi11mhau55geen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2470,207,马达,mha33daeq5,mha33daeq5,<mha33>dæʔ5,mha33daeq5,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2542,209,肉里眼,gnio11li11ngaen11,gnio11li11ngaen11,ȵiɒ11li11ŋæ̃11,gniau11li11ngaen11,roundtrip_mismatch,ok,ok
2543,209,毛,mhau52,mhau52,<mhau52>,mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2562,210,胎毛,the33mhau52,the33mhau52,tʰᴇ33<mhau52>,the33mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2596,211,眼毛,ngaen115mhau52,ngaen115mhau52,ŋæ̃115<mhau52>,ngaen115mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2597,211,睫毛,jiq1mhau52,jiq1mhau52,dʑieʔ1<mhau52>,jiq1mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2598,211,眉毛,mi11mhau52,mi11mhau52,mi11<mhau52>,mi11mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2635,212,牙床肉,ngo11zaon55gnio52,ngo11zaon55gnio52,ŋo11zɒŋ55ȵiɒ52,ngo11zaon55gniau52,roundtrip_mismatch,ok,ok
2673,214,屁股肉,phi33ku33gnio33,phi33ku33gnio33,pʰi33ku33ȵiɒ33,phi33ku33gniau33,roundtrip_mismatch,ok,ok
2745,216,肉,gnio11,gnio11,ȵiɒ11,gniau11,roundtrip_mismatch,ok,ok
2752,216,寒毛,gheen11mhau52,gheen11mhau52,ɦẽ11<mhau52>,gheen11mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2753,216,寒毛管,gheen11mhau55kuoen52,gheen11mhau55kuoen52,ɦẽ11<mhau55>kuø̃52,gheen11mhau55kuoen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2754,216,寒毛孔,gheen11mhau55khuon52,gheen11mhau55khuon52,ɦẽ11<mhau55>kʰuoŋ52,gheen11mhau55khuon52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2811,218,毛病,mhau33bin55,mhau33bin55,<mhau33>biŋ55,mhau33bin55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2938,222,新肉,shin33gnio55,shin33gnio55,ɕiŋ33ȵiɒ55,shin33gniau55,roundtrip_mismatch,ok,ok
2954,223,膏药黏,kau33yaq5gnhien52,kau33yaq5gnhien52,kɒ33ɦiaʔ5<gnhien52>,kau33yaq5gnhien52,forward_error;backward_error,unknown_final:hien:gnhien,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
2995,224,小毛头,shiau335mhau55deu52,shiau335mhau55deu52,ɕiɒ335<mhau55>dɤ52,shiau335mhau55deu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2997,224,肉肉,gnio11gnio11,gnio11gnio11,ȵiɒ11ȵiɒ11,gniau11gniau11,roundtrip_mismatch,ok,ok
3096,228,摸夜游,mhoq3ya55yeu52,mhoq3ya55yeu52,<mhoq3>ɦia55ɦiɤ52,mhoq3ya55yeu52,forward_error;backward_error,unknown_final:hoq:mhoq,unknown_ipa:<;unknown_ipa:q;unknown_ipa:>
3288,234,姆妈,mu115mha52,mu115mha52,mu115<mha52>,mu115mha52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
3300,234,祖母的姊妹,tsu335mu55tiq5tsy55mhe52,tsu335mu55tiq5tsy55mhe52,tsu335mu55tieʔ5tsɿ55<mhe52>,tsu335mu55tiq5tsy55mhe52,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3326,235,阿妹,o33mhe55,o33mhe55,o33<mhe55>,o33mhe55,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3327,235,妹妹,mhe33mhe33,mhe33mhe33,<mhe33><mhe33>,mhe33mhe33,forward_error;backward_error,unknown_final:he:mhe;unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>;unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3379,237,堂阿妹,daon11o55mhe52,daon11o55mhe52,dɒŋ11o55<mhe52>,daon11o55mhe52,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3384,237,撩勿着,ihiau33veq5tsaq54,ihiau33veq5tsaq54,<ihiau33>veʔ5tsaʔ54,ihiau33veq5tsaq54,forward_error;backward_error,unknown_final:ihiau:ihiau,unknown_ipa:<;unknown_ipa:>
3397,238,妹夫,mhe33fu33,mhe33fu33,<mhe33>fu33,mhe33fu33,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3398,238,妹丈,mhe33dzan33,mhe33dzan33,<mhe33>dzaŋ33,mhe33dzan33,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3408,238,妹,mhe33,mhe33,<mhe33>,mhe33,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3432,239,表阿妹,piau335o55mhe52,piau335o55mhe52,piɒ335o55<mhe52>,piau335o55mhe52,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3452,240,姐妹,cia335mhe52,cia335mhe52,tɕia335<mhe52>,cia335mhe52,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3455,240,堂姐妹,daon11cia55mhe52,daon11cia55mhe52,dɒŋ11tɕia55<mhe52>,daon11cia55mhe52,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3459,240,表姐妹,piau335cia55mhe52,piau335cia55mhe52,piɒ335tɕia55<mhe52>,piau335cia55mhe52,forward_error;backward_error,unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
3663,247,零碎铜钱,ihin33se55don55dien52,ihin33se55don55dien52,<ihin33>sᴇ55doŋ55diẽ52,ihin33se55don55dien52,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
3664,247,零碎钞票,ihin33se55tshau55phiau52,ihin33se55tshau55phiau52,<ihin33>sᴇ55tsʰɒ55pʰiɒ52,ihin33se55tshau55phiau52,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
3666,247,零用钿,ihin33yon55,ihin33yon55,<ihin33>ɦioŋ55,ihin33yon55,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
3730,249,肉店,gnio11tien11,gnio11tien11,ȵiɒ11tiẽ11,gniau11tien11,roundtrip_mismatch,ok,ok
3801,251,马路,mha33lu55,mha33lu55,<mha33>lu55,mha33lu55,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
3826,252,马托车,mha33thoq5ciu52,mha33thoq5ciu52,<mha33>tʰoʔ5tɕy52,mha33thoq5ciu52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
3827,252,马达掐,mha33daeq5khaeq54,mha33daeq5khaeq54,<mha33>dæʔ5kʰæʔ54,mha33daeq5khaeq54,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
3836,252,马车,mha33ciu52,mha33ciu52,<mha33>tɕy52,mha33ciu52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
4000,258,零蛋,ihin33daen55,ihin33daen55,<ihin33>dæ̃55,ihin33daen55,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
4265,267,打雨毛丝,to335yu55mhau55sy52,to335yu55mhau55sy52,to335ɦy55<mhau55>sɿ52,to335yu55mhau55sy52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
4404,273,挠,nhau52,nhau52,<nhau52>,nhau52,forward_error;backward_error,unknown_final:hau:nhau,unknown_ipa:<;unknown_ipa:>
4407,273,撸,ihu52,ihu52,<ihu52>,ihu52,forward_error;backward_error,unknown_final:ihu:ihu,unknown_ipa:<;unknown_ipa:>
4409,273,摞,iho335,iho335,<iho335>,iho335,forward_error;backward_error,unknown_final:iho:iho,unknown_ipa:<;unknown_ipa:>
4410,273,撩,ihiau52,ihiau52,<ihiau52>,ihiau52,forward_error;backward_error,unknown_final:ihiau:ihiau,unknown_ipa:<;unknown_ipa:>
4429,273,研,gnhien52,gnhien52,<gnhien52>,gnhien52,forward_error;backward_error,unknown_final:hien:gnhien,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
4439,274,拎,ihin52,ihin52,<ihin52>,ihin52,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
4445,274,拉,iha52,iha52,<iha52>,iha52,forward_error;backward_error,unknown_final:iha:iha,unknown_ipa:<;unknown_ipa:>
4468,275,橋,dzip115552,dzip115552,<dzip115552>,dzip115552,forward_error;backward_error,unknown_final:ip:dzip,unknown_ipa:<;unknown_ipa:>
4517,277,闷,mheen52,mheen52,<mheen52>,mheen52,forward_error;backward_error,unknown_final:heen:mheen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:e;unknown_ipa:>
4586,279,拦,ihaen52,ihaen52,<ihaen52>,ihaen52,forward_error;backward_error,unknown_final:ihaen:ihaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
4599,280,了手,iiau115seu52,iiau115seu52,<iiau115>sɤ52,iiau115seu52,forward_error;backward_error,unknown_final:iiau:iiau,unknown_ipa:<;unknown_ipa:>
4630,281,挑毛线,thiau33mhau55shien52,thiau33mhau55shien52,tʰiɒ33<mhau55>ɕiẽ52,thiau33mhau55shien52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
4631,281,结毛线,ciq3mhau55shien52,ciq3mhau55shien52,tɕieʔ3<mhau55>ɕiẽ52,ciq3mhau55shien52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
4655,282,黏,gnhien52,gnhien52,<gnhien52>,gnhien52,forward_error;backward_error,unknown_final:hien:gnhien,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
4721,284,拎水,ihin33sy55,ihin33sy55,<ihin33>sɿ55,ihin33sy55,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
4773,286,头唔有咽熟,deu11nh55yeu55ien55zoq54,deu11nh55yeu55ien55zoq54,dɤ11<nh55>ɦiɤ55iẽ55zoʔ54,deu11nh55yeu55ien55zoq54,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
4800,287,生毛病,san33mhau55bin52,san33mhau55bin52,saŋ33<mhau55>biŋ52,san33mhau55bin52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
4862,289,看毛病,kheen33mhau33bin33,kheen33mhau33bin33,kʰẽ33<mhau33>biŋ33,kheen33mhau33bin33,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
4876,290,扭痧,gnhieu335so52,gnhieu335so52,<gnhieu335>so52,gnhieu335so52,forward_error;backward_error,unknown_final:hieu:gnhieu,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
4878,290,推拿,the33nha52,the33nha52,tʰᴇ33<nha52>,the33nha52,forward_error;backward_error,unknown_final:ha:nha,unknown_ipa:<;unknown_ipa:>
4955,293,做肉,tso33gnio33,tso33gnio33,tso33ȵiɒ33,tso33gniau33,roundtrip_mismatch,ok,ok
5046,296,扭,gnhieu335,gnhieu335,<gnhieu335>,gnhieu335,forward_error;backward_error,unknown_final:hieu:gnhieu,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
5105,298,拍马屁,phaq3mha55phi52,phaq3mha55phi52,pʰaʔ3<mha55>pʰi52,phaq3mha55phi52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
5200,301,摸暗弄堂,mhoq3een55lon55daon52,mhoq3een55lon55daon52,<mhoq3>ẽ55loŋ55dɒŋ52,mhoq3een55lon55daon52,forward_error;backward_error,unknown_final:hoq:mhoq,unknown_ipa:<;unknown_ipa:q;unknown_ipa:>
